<<<<<<< HEAD
Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197),S(793),S(853),S(958),S(950),S(1019)
6.453527008878019e-20,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999999946798,9.5,8.7433567196779229e-21,5.5118462307478503e-21,1.7848641538939482e-13,2.1157673237202215e-35,2.1157673238992831e-35,1.7848641540592031e-13,9.5082731794417993e-15,1.1273621800153305e-25,1.6535133517587435e-13,4.7536230199895006e-35,2.7814608797434525e-23,6.7188758974888896e-26,2.9967025211406163e-35,8.8705054638117173e-30,6.7419289122318806e-38,2.1617209717148267e-51,6.801955005843731e-82,2.7801495647554817e-23,6.8019550058420924e-82,1.9374069117776304e-52,3.0083900676654151e-64,1.6605820242925208e-23,5.170262460805369e-34,1.5752676048326207e-45,2.1534732752237729e-46,1.7781845886874931e-16,7.2682089931567623e-82,6.1555209416567182e-34,1.1106014529984967e-38,1.0586974542272579e-38,6.8427214191695587e-52,1.9374063435536198e-52,5.6822701879155579e-59,1.0502472064455556e-69,2.6747248625389248e-80,4.3939116941932386e-81,3.5798258175862534e-92
1.2912660904818487e-19,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999893552,9.5,3.4996210041159664e-20,2.2061747517597211e-20,3.5712790142417925e-13,1.693900335231922e-34,1.6939003355186537e-34,3.5712790149027196e-13,1.9024807239134979e-14,4.5123866913233396e-25,3.3084629961141886e-13,3.805788549796483e-34,1.1133092201632897e-22,2.689301347378137e-25,2.399183968549738e-34,3.5505139324318865e-29,5.3990183679750142e-37,3.4615700865302165e-50,8.724183092532851e-80,1.1122598327091414e-22,8.7241830925286457e-80,3.1023753428124125e-51,9.6349487628542233e-63,6.646655407589775e-23,4.1329808712851552e-33,2.5224799162672593e-44,3.4483628024637623e-45,3.5579138768054271e-16,9.3222001551112137e-80,4.9063370965580949e-33,8.8915646388125577e-38,8.4759436935159396e-38,1.0960260575056337e-50,3.1023735229660742e-51,1.8198559721806302e-57,6.7273272677126808e-68,3.4265973451056661e-78,5.62905230407396e-79,9.1722803975650722e-90
2.5830928696699424e-19,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999999787059,9.5,1.4003040337007492e-19,8.8275713293077659e-20,7.1441087322666813e-13,1.355635077709708e-33,1.3556350781686657e-33,7.1441087349070536e-13,3.8057875358494994e-14,1.8055424266142079e-24,6.6183613967605665e-13,3.0457870605096135e-33,4.4546870221909423e-22,1.0760708357052193e-24,1.9200760608631078e-33,1.4206680700094595e-28,4.3214146190402299e-36,5.5407665263199768e-49,1.1178283982472549e-77,4.4462961165780878e-22,1.1178283982461778e-77,4.9658210502092405e-50,3.0844804253838353e-61,2.6595276969384084e-22,3.2974858420253822e-32,4.0376084636407625e-43,5.5196255544140316e-44,7.1173718388453946e-16,1.1944522434729962e-77,3.8920769561396866e-32,7.1159541711663085e-37,6.7832136870343736e-37,1.7545981806626425e-49,4.965815224254892e-50,5.8259851926076909e-56,4.3073271195367321e-66,4.3879315320742477e-76,7.2082867133741393e-77,2.349117949717475e-87
5.1667464280461295e-19,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999999574074,9.5,5.6021262402223754e-19,3.5316022657343346e-19,1.4289768157655172e-12,1.0847140283443749e-32,1.0847140290788559e-32,1.4289768168184929e-12,7.6124011597109606e-14,7.2233452810646761e-24,1.323815464579717e-12,2.4370917119624011e-32,1.7821648719738024e-21,4.3049840303205114e-24,1.5363521353520568e-32,5.6835975329993146e-28,3.4580258948332943e-35,8.8670305242640615e-48,1.4315458904538929e-75,1.7754626580638246e-21,1.431545890451134e-75,7.9469306989094214e-49,9.8724130915019371e-60,1.0639840703484217e-21,2.6223826955839053e-31,6.4614811620864191e-42,8.8331957940098374e-43,1.4236285306142569e-15,1.5296741459674791e-75,3.0604526549151363e-31,5.6938447105804325e-36,5.4274138825532929e-36,2.8081335101350804e-48,7.9469120519564057e-49,1.8647051736613004e-54,2.7572752756652356e-64,5.6177556682094226e-74,9.2285837398010094e-75,6.015035470316155e-85
1.0334053544798504e-18,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999999148093,9.5,2.2410314993090606e-18,1.4127550114304789e-18,2.8581086965961303e-12,8.6785361532015006e-32,8.6785361649543681e-32,2.8581087007817502e-12,1.5225628407391726e-13,2.8895731696879189e-23,2.6477726934861022e-12,1.949857377019898e-31,7.1292396032095266e-21,1.7221337549587068e-23,1.2291977072836218e-31,2.2736241786670703e-27,2.7668008613772515e-34,1.4188692675311354e-46,1.8328432203498327e-73,7.0758044280550086e-21,1.8328432203427674e-73,1.2716383579694094e-47,3.159504518092782e-58,4.2562811702869569e-21,2.0727833972755193e-30,1.0339399492985811e-40,1.4134544263437053e-41,2.8474102413612657e-15,1.9584792260447718e-73,2.3666892868830513e-30,4.55550861787682e-35,4.3420431012895773e-35,4.4936700778999756e-47,1.271632390330525e-47,5.9676704780474754e-53,1.7648407561317195e-62,7.1914855317227794e-72,1.1813832874545971e-72,1.5400121228381273e-82
2.0668667778303254e-18,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999998296141,9.5,8.9644797698695379e-18,5.6512430653697079e-18,5.7163724414066286e-12,6.9431584686982699e-31,6.9431584875037426e-31,5.7163724579389972e-12,3.0452082902584621e-13,1.1558762214981639e-22,5.2956814677073321e-12,1.5599581681575891e-30,2.8518118267458786e-20,6.8888152782776544e-23,9.8340372291580656e-31,9.0948678723679578e-27,2.2136286241886555e-33,2.2703064672480237e-45,4.1074429086565462e-71,2.8093588449737266e-20,4.1074429086249354e-71,2.0347251554469963e-46,1.011094729232551e-56,1.7025805533325198e-20,1.6191768825684926e-29,1.6543809848864382e-39,2.2616399330083829e-40,5.6949697320110072e-15,4.38899602449658e-71,1.7743679743394448e-29,3.6445804493380112e-34,3.4733190169848351e-34,7.1905100645995007e-46,2.034706058084354e-46,1.9097463740830361e-51,1.1295533898721377e-60,9.2055562238442334e-70,1.5122453179040246e-70,3.9426266801775857e-80
4.133789624531275e-18,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999996592226,9.5,3.585856066364036e-17,2.2605376718623335e-17,1.1432899864697251e-11,5.5546585296620595e-30,5.5546585597513483e-30,1.1432899929176416e-11,6.0904991892295857e-13,4.6235983192009306e-22,1.0591476281881219e-11,1.2479932973125815e-29,1.1407478948550177e-19,2.7555821342388043e-22,7.867398496637918e-30,3.6380220326755502e-26,1.77103543778614e-32,3.6325832621020933e-44,5.2753892685049487e-69,1.1072507405630826e-19,5.2753892684236143e-69,3.2556439794058774e-45,3.2355890766046041e-55,6.8104512274847121e-20,1.2368735172216838e-28,2.6470542392084641e-38,3.6187089419814783e-39,1.1390072989976797e-14,5.6370016663696733e-69,1.2601471340455597e-28,2.915734433068634e-33,2.7779528653947004e-33,1.1505687059232488e-44,3.2555828667866368e-45,6.1112942727610891e-50,7.229270506226652e-59,1.1783324708563385e-67,1.9357089728142332e-68,1.0093307852787557e-77
8.267635317933175e-18,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999993184407,9.5,1.4343499804736685e-16,9.0421983076927863e-17,2.2865954454106803e-11,4.4437794186802998e-29,4.4437794668230246e-29,2.2865954699342985e-11,1.2181080986902016e-12,1.8494576344066778e-21,2.1182974973935474e-11,9.9840191175559522e-29,4.5630376418584042e-19,1.1022440345737867e-21,6.2939646517507128e-29,1.4552243106442674e-25,1.4169730610532808e-31,5.8122088329788964e-43,6.7528354856252797e-67,4.3022242504500393e-19,6.7528354854170515e-67,5.209099599386036e-44,1.0354026952237052e-53,2.7242005688804681e-19,9.0723205342053062e-28,4.2352681430398973e-37,5.7899855977281369e-38,2.2780216612920858e-14,7.2157224664025624e-67,8.2187704482389293e-28,2.3326166160740977e-32,2.2211603506150996e-32,1.8410948898783332e-43,5.208904039936871e-44,1.95560484104861e-48,4.6267126834346254e-57,1.5082591333053478e-65,2.4776969684572015e-66,2.5838760619321342e-75
1.6535326704736974e-17,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999986368759,9.5,5.7373728074768131e-16,3.6168622300309082e-16,4.5732062663206565e-11,3.5550444008511231e-28,3.5550444778775823e-28,4.5732063550443224e-11,2.4362244581167603e-12,7.3978641176592515e-21,4.2365608619115804e-11,7.9871894889583336e-28,1.8252240568362376e-18,4.4089983096948062e-21,5.0351554529025255e-28,5.8209324034295189e-25,1.1337827731204694e-30,9.2995987228747848e-42,8.6437334675001398e-65,1.6271912279232348e-18,8.6437334669670655e-65,8.3346219372789395e-43,3.3133141443554126e-52,1.089679664975427e-18,6.2166580300622696e-27,6.77624013970314e-36,9.2639643902249876e-37,4.5560252289637118e-14,9.2362359245406264e-65,4.784421394743744e-27,1.8661065850318974e-31,1.7749766452103027e-31,2.9462680252208821e-42,8.3339961653418023e-43,6.2577524748889534e-47,2.9610106561793947e-55,1.9305162639289851e-63,3.1713611828462848e-64,6.6145336467882618e-73
2.4803018091540772e-17,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999979553111,9.5,1.2191852769924178e-15,7.685791611811643e-16,6.8598169955918994e-11,1.016522019858476e-27,1.016522048208945e-27,6.859817171231075e-11,3.6543408174353913e-12,1.5720478831561346e-20,6.3547878531613812e-11,2.2838284513695277e-27,3.8786065073260705e-18,9.3691350509874697e-21,1.4397343765490822e-27,1.2369509256013009e-24,3.3662029076200368e-30,3.4228758408099692e-41,4.4598484895101953e-64,3.3288061043162742e-18,4.4598484891829142e-64,3.0677006681450555e-42,1.5127437851329759e-51,2.3155637875944158e-18,1.633958624432841e-26,2.494068837689418e-35,3.4097462690847842e-36,6.8340036399959619e-14,4.765557958733364e-64,1.1633218422844528e-26,5.335910950166087e-31,5.0721125076452082e-31,1.1147121112655056e-41,3.0674149667777226e-42,2.8570287844970603e-46,1.6268513922226029e-54,1.2454375358450587e-62,2.0459461410111273e-63,4.9120303491980799e-72
3.307070947834457e-17,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999972737463,9.5,2.0797752924565733e-15,1.3110984686934961e-15,9.1464276380479352e-11,2.1441410786712917e-27,2.1441411505733076e-27,9.146427918494578e-11,4.8724571766460951e-12,2.6817299133877089e-20,8.4729784717675218e-11,4.817236698604583e-27,6.6164509305347324e-18,1.598265409180224e-20,3.0368048310155929e-27,2.1100959750160532e-24,7.3353004549212781e-30,8.6811650797489317e-41,2.4330079482370062e-63,5.4868358187965578e-18,2.4330079480548165e-63,7.7803649241761952e-42,4.5090659059444088e-51,3.9500684214799096e-18,3.205755618822611e-26,6.3254096565232694e-35,8.6478329425705243e-36,9.1119568946666493e-14,2.5997834720213801e-63,2.152050476583763e-26,1.1255001244871157e-30,1.0692410165214284e-30,2.901761858766584e-41,7.7795133399714605e-42,8.5158870820770677e-46,5.5933915829396497e-54,4.8637191064936266e-62,7.9898888156736671e-63,2.1511508103682405e-71
4.960609225195217e-17,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999959106178,9.5,4.3058690108341195e-15,2.7144366446494789e-15,1.3719648732402523e-10,5.8563189971590813e-27,5.8563192485984106e-27,1.3719649251262985e-10,7.3086898948142028e-12,5.5521822227336565e-20,1.2709274346549435e-10,1.3157274152424282e-26,1.3698529547617965e-17,3.3090078685968867e-20,8.2943970169985736e-27,4.3686950712141455e-24,2.129430038184005e-29,3.0358517055598726e-40,3.3790307711218443e-62,1.0742160400025268e-17,3.3790307708340358e-62,2.7208379457003635e-41,1.973710375469943e-50,8.1780725967417722e-18,7.8267712055641995e-26,2.211972800170454e-34,3.0241746413691028e-35,1.3667804364429384e-13,3.6106533697434173e-62,4.8623080290176646e-26,3.0740988783092781e-30,2.9176358985202416e-30,1.0650013058518033e-40,2.7204651986186774e-41,3.7274905238820099e-45,3.0081749518847504e-53,3.1634885184536631e-61,5.1968301288281719e-62,1.6689867759770764e-70
6.614147502555977e-17,0.28505293240024265,76.950000000000003,0.0,0.0,0.0,0.99999999945474893,9.5,7.3230859775910274e-15,4.6165020067757531e-15,1.8292869541234885e-10,1.2253383840856841e-26,1.2253384469123773e-26,1.8292870330576159e-10,9.7449226125854269e-12,9.4428066826397354e-20,1.6945436471336284e-10,2.7529238275693809e-26,2.3297617421331519e-17,5.6277578301390864e-20,1.7354539333794067e-26,7.4300195202905599e-24,4.6572221889777725e-29,7.5857775765075194e-40,1.5532938547157707e-61,1.7338635769246416e-17,1.5532938545665284e-61,6.798646041605252e-41,5.7504522206482531e-50,1.3908686885921563e-17,1.4890688891021158e-25,5.5270059844051291e-34,7.5565575915167517e-35,1.822355932758621e-13,1.6597675689815939e-61,8.7307893885579172e-26,6.4320583954112604e-30,6.0994911913938467e-30,2.761816821890369e-40,6.7975600537935975e-41,1.0859935520813024e-44,1.0025499009138202e-52,1.1876539317776733e-60,1.9510220369821831e-61,6.97088780422667e-70
8.267685779916736e-17,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.99999999931843631,9.5,1.1187910304147556e-14,7.0529023595525331e-15,2.2866090067224345e-10,2.2306823766093794e-26,2.2306825099005656e-26,2.2866091138330289e-10,1.2181155329931414e-11,1.4426470976027792e-19,2.1181455296731494e-10,5.0115584326096288e-26,3.5593499693144159e-17,8.5979442897103504e-20,3.1593060098340981e-26,1.1351410196084374e-23,8.7383638532921649e-29,1.6094075296707356e-39,5.7347910938605762e-61,2.5141347562147647e-17,5.7347910932618445e-61,1.4424094712699125e-40,1.396179891639472e-49,2.1249213841709111e-17,2.4757425056501038e-25,1.1725903458773412e-33,1.6031990679003268e-34,2.2779215178379274e-13,6.127894113973008e-61,1.3849935940839463e-25,1.1709343154871922e-29,1.109431155000509e-29,6.0390608230882793e-40,1.4421458039277672e-40,2.6366873558068669e-44,2.7447206205060708e-52,3.6225315226704872e-60,5.9509245347319487e-61,2.3454409103589562e-69
1.1574762334638256e-16,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999904581094,9.5,2.1513455475886754e-14,1.3562166370839196e-14,3.2012530367636092e-10,5.889661447370655e-26,5.8896619356780475e-26,3.2012531922104474e-10,1.7053620763320968e-11,2.7741565614380054e-19,2.9653054076401145e-10,1.3231739543790788e-25,6.8445036027086251e-17,1.6533545402955092e-19,8.3413402852479271e-26,2.1828436761433036e-23,2.3915978343137308e-28,5.8963884656558589e-39,7.0304095838316755e-60,4.3294149338964965e-17,7.0304095826011113e-60,5.2845668179091324e-40,7.2228683003616325e-49,4.0860949961944156e-17,5.3581627570469215e-25,4.2957144273735244e-33,5.8735361392568832e-34,3.1890223329794961e-13,7.5123234118586761e-60,2.7927209549943225e-25,3.0916280575805166e-29,2.9223430406789976e-29,2.3234381182261006e-39,5.283202884004836e-40,1.3639411066637892e-43,2.0500638476636845e-51,4.0088740083246526e-59,6.5855902883213071e-60,3.9556854438204089e-68
1.4881838889359775e-16,0.2850529324002427,76.950000000000003,0.0,0.0,0.0,0.99999999877318602,9.5,3.528121067027944e-14,2.2241413026735281e-14,4.1158969741112334e-10,1.2210744752327443e-25,1.2210746020231485e-25,4.1158971602935301e-10,2.1926086194983416e-11,4.5496047979098262e-19,3.8124070904301927e-10,2.743223096437723e-25,1.1224966518235435e-16,2.711497373334468e-19,1.7293385531329826e-25,3.5798697483230044e-23,5.0429752372973514e-28,1.5310956629715191e-38,3.5047721883710661e-59,6.4128125531994444e-17,3.5047721876348482e-59,1.3722279401483995e-39,2.3257451148682055e-48,6.7010991269288928e-17,9.4579297092455545e-25,1.1153886020669639e-32,1.5251390851311744e-33,4.1000828961398785e-13,3.7450139734140597e-59,4.7094111574542881e-25,6.4097477130240959e-29,6.0458928799704469e-29,6.1728442866649171e-39,1.3717887802764071e-39,4.3916218964074778e-43,8.0966875685494662e-51,1.9191415377528933e-58,3.1526758807353328e-59,2.2662398845921912e-67
2.1495991998802813e-16,0.28505293240024276,76.950000000000003,0.0,0.0,0.0,0.9999999982279365,9.5,7.3140680500486751e-14,4.6108170698709401e-14,5.9451846089046396e-10,3.668975847306558e-25,3.6689764092372362e-25,5.9451847656237932e-10,3.1671017053127728e-11,9.4321218428350848e-19,5.5064359156301323e-10,8.242250797118738e-25,2.3271352360876475e-16,5.6214191145950875e-19,5.195947086960674e-25,7.4217609990470057e-23,1.5391356906051645e-27,6.7867088895828202e-38,5.3372371668586751e-58,1.1002581719704794e-16,5.3372371650120616e-58,6.0825375054694244e-39,1.5547607174504827e-47,1.389219135693846e-16,2.135253605276343e-24,4.9432953345787452e-32,6.7600466207892074e-33,5.9220832926574538e-13,5.7030889872032665e-58,1.0069285932075098e-24,1.9259623825412944e-28,1.8075750489828622e-28,2.8027510519941707e-38,6.0796021821689962e-39,2.9353387644119712e-42,8.3622791048698818e-50,3.1397082312282221e-57,5.1577665154285796e-58,6.0163550677433633e-66
